platform,scheme,operation,n_iter,median_ms,p95_ms,p99_ms,stddev_ms
server,ML-KEM-768,keygen,10000,0.016810000,0.022471000,0.028272300,0.005795424
server,ML-KEM-768,encaps,10000,0.017001000,0.022191000,0.026198000,0.005896847
server,ML-KEM-768,decaps,10000,0.019385000,0.023954500,0.027210600,0.001941578
server,ML-DSA-44,keygen,10000,0.032560000,0.039843000,0.046014100,0.005466978
server,ML-DSA-44,sign,10000,0.072062500,0.194468000,0.270046700,0.051095968
server,ML-DSA-44,verify,10000,0.030577000,0.037008500,0.040865100,0.002520806
server,ML-DSA-65,keygen,10000,0.055823000,0.065841500,0.073737100,0.007179715
server,ML-DSA-65,sign,10000,0.121343000,0.300953050,0.411398820,0.078001836
server,ML-DSA-65,verify,10000,0.051795000,0.060290050,0.064289090,0.010365225
server,ML-DSA-87,keygen,10000,0.097379000,0.109361500,0.113769400,0.008869003
server,ML-DSA-87,sign,10000,0.159147500,0.327753500,0.440214610,0.072712847
server,ML-DSA-87,verify,10000,0.090457000,0.098333000,0.105594100,0.003310059
server,Falcon-512,keygen,10000,6.461802000,10.591512700,13.443763510,1.807998360
server,Falcon-512,sign,10000,0.260891000,0.267974000,0.271891200,0.013450320
server,Falcon-512,verify,10000,0.045494000,0.050994500,0.055001000,0.004602259
server,SPHINCS+-SHA2-128s,keygen,10000,23.126895000,23.147137150,23.162684610,0.014637726
server,SPHINCS+-SHA2-128s,sign,10000,175.886926000,176.014493300,176.096905130,0.120080589
server,SPHINCS+-SHA2-128s,verify,10000,0.261351500,0.267072000,0.269948290,0.003404169
server,ECDSA-P-256,keygen,10000,0.009678000,0.012353000,0.014387100,0.001842181
server,ECDSA-P-256,sign,10000,0.023144000,0.027491000,0.031118210,0.010609227
server,ECDSA-P-256,verify,10000,0.068319000,0.075291050,0.079890610,0.003228249
