config,transition,message_bytes,rtt_median_ms,rtt_p95_ms
classical,channel_setup,222,21.286851,21.504801
classical,commitment_update,222,21.310902,21.510994
classical,htlc_add,222,21.298696,21.467732
classical,htlc_settle,222,21.245047,21.479965
classical,funding,222,21.281123,21.547652
classical,coop_close,222,21.281460,21.477038
classical,force_close,222,21.289937,21.534315
classical,penalty,222,21.285910,21.503796
uniform_mldsa,channel_setup,10648,21.112974,21.350812
uniform_mldsa,commitment_update,10648,21.114159,21.425258
uniform_mldsa,htlc_add,10648,21.118236,21.447674
uniform_mldsa,htlc_settle,10648,21.118241,21.465132
uniform_mldsa,funding,10648,21.119010,21.511898
uniform_mldsa,coop_close,10648,21.114441,21.556480
uniform_mldsa,force_close,5387,21.115125,21.311547
uniform_mldsa,penalty,5387,21.113686,21.289887
layer_aware,channel_setup,3252,21.108538,21.629898
layer_aware,commitment_update,3252,21.110450,21.589563
layer_aware,htlc_add,3252,21.112237,21.563478
layer_aware,htlc_settle,3252,21.112566,21.580537
layer_aware,funding,10648,21.116674,21.408639
layer_aware,coop_close,10648,21.120620,21.477450
layer_aware,force_close,5387,21.117120,21.312170
layer_aware,penalty,5387,21.113822,21.408214
