config,rtt_ms,hops,completion_median_ms,completion_p95_ms,n_iter
classical,5,1,5.416821,5.682767,1000
classical,5,2,10.843276,11.816417,1000
classical,5,3,16.296236,17.238586,1000
classical,5,4,21.632188,23.065492,1000
classical,5,5,27.300695,28.999023,1000
classical,20,1,20.365835,20.527829,1000
classical,20,2,40.572527,40.936385,1000
classical,20,3,60.922778,61.234538,1000
classical,20,4,81.193839,81.682734,1000
classical,20,5,101.521415,102.015098,1000
classical,50,1,50.369570,50.493262,1000
classical,50,2,100.890044,101.052365,1000
classical,50,3,151.243902,151.519654,1000
classical,50,4,201.632499,202.062646,1000
classical,50,5,251.232524,251.930793,1000
classical,100,1,100.367905,100.492122,1000
classical,100,2,200.795546,200.993418,1000
classical,100,3,300.876070,301.188750,1000
classical,100,4,400.865799,401.204845,1000
classical,100,5,501.042888,501.426569,1000
uniform_mldsa,5,1,5.220479,5.834481,1000
uniform_mldsa,5,2,10.657247,11.184794,1000
uniform_mldsa,5,3,15.895880,16.569631,1000
uniform_mldsa,5,4,21.110096,21.910500,1000
uniform_mldsa,5,5,26.246022,27.186637,1000
uniform_mldsa,20,1,20.220607,20.352665,1000
uniform_mldsa,20,2,40.359820,40.718051,1000
uniform_mldsa,20,3,60.633792,60.969084,1000
uniform_mldsa,20,4,80.839297,81.292065,1000
uniform_mldsa,20,5,101.061891,101.476283,1000
uniform_mldsa,50,1,50.225038,50.349361,1000
uniform_mldsa,50,2,100.550101,100.751067,1000
uniform_mldsa,50,3,150.855390,151.170388,1000
uniform_mldsa,50,4,201.084755,201.551233,1000
uniform_mldsa,50,5,251.349266,251.940866,1000
uniform_mldsa,100,1,100.211431,100.315699,1000
uniform_mldsa,100,2,200.536379,200.667105,1000
uniform_mldsa,100,3,300.800125,301.005897,1000
uniform_mldsa,100,4,401.002717,401.295767,1000
uniform_mldsa,100,5,501.206086,501.582447,1000
layer_aware,5,1,5.228220,5.606415,1000
layer_aware,5,2,10.506125,11.067302,1000
layer_aware,5,3,15.322399,15.941336,1000
layer_aware,5,4,20.391709,21.241524,1000
layer_aware,5,5,25.500139,26.464090,1000
layer_aware,20,1,20.218903,20.339479,1000
layer_aware,20,2,40.352929,40.729121,1000
layer_aware,20,3,60.620127,60.927211,1000
layer_aware,20,4,80.805209,81.184789,1000
layer_aware,20,5,101.050283,101.392185,1000
layer_aware,50,1,50.214959,50.348999,1000
layer_aware,50,2,100.530357,100.757175,1000
layer_aware,50,3,150.818304,151.161051,1000
layer_aware,50,4,201.082929,201.561168,1000
layer_aware,50,5,251.297322,251.942319,1000
layer_aware,100,1,100.212807,100.325695,1000
layer_aware,100,2,200.537555,200.663588,1000
layer_aware,100,3,300.745495,300.982189,1000
layer_aware,100,4,400.914895,401.251004,1000
layer_aware,100,5,501.108952,501.534556,1000
