config,run_label,benchmark_label,block_number,block_bytes,transaction_count,header_types,classification,accepted_for_mean
sphincs,blockutil-54-v1,blockutil-54-tps,15,572620,29,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v1,blockutil-54-tps,16,592388,30,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v1,blockutil-54-tps,17,730410,37,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v1,blockutil-54-tps,18,533313,27,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v1,blockutil-54-tps,19,553021,28,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v1,blockutil-54-tps,20,296749,15,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v1,blockutil-54-tps,21,375609,19,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v1,blockutil-54-tps,22,139024,7,3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v1,blockutil-54-tps,23,139040,7,3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v1,blockutil-54-tps,24,434764,22,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,blockutil-54-v1,blockutil-54-tps,25,277042,14,3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
