config,run_label,benchmark_label,block_number,block_bytes,transaction_count,header_types,classification,accepted_for_mean
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,690880,35,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,122,907742,46,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,123,750132,38,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,124,868495,44,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,125,809346,41,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,126,809350,41,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,127,848779,43,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,128,829073,42,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,129,789644,40,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,130,789643,40,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,131,809356,41,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,132,769930,39,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,133,868503,44,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,134,789639,40,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,135,848788,43,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,136,848789,43,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3,ordinary_transaction,true
