config,run_label,benchmark_label,block_number,tx_index,channel_header_type,tx_id,envelope_bytes,envelope_sha256,validation_code,validation_name,endorsements,block_classification,accepted_for_tx_mean
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,0,3,d3714562cf20d1a9a02728dc5b9c404f29eee2b15d3bf4293382fab1486fecfc,19703,d01244d38d9c4c82c1a6727ce6342ec17d122f7c6f613f9564c256283174d1b8,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,1,3,438099da42c82312435e1187d3bcd9dc75bba5b5971a38c1b17158b0b29632c1,19704,9c41f4c7f9799b7f10f3dc4b2e6aa7249113b78ce25622bd3f27ea141636dfea,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,2,3,96390c4b022d5580ad94f0caf892e1452ee30f78b00fd82193d86eab7501c65c,19702,6664a79597298380cb85e74ac85eba8cd008fc010bbeb72c3cd5d5081a567b3a,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,3,3,76045a3646045a6393d84d7881b58cc907fbe71b7e4f7ab783a9c90014a20285,19702,fa78d1437bb75843cff9637cd1370d22abf860862e4f1133677754cf57c225f1,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,4,3,cbd95e8a04bcff3b1f2e20ddf4a108b00e5f8a48f5eccf7ad850c5eb5ca40180,19703,df05f1a8c275fad7d8d9ede6b887d8667b52a882f30efad89b2d2925bc5c7b6a,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,5,3,d1c6b7562ee3985879a834c35a2c6fbd51da0ce3500e826cd865b2a738fd67f1,19702,7244e3c6dae783c26ef57af44b6c45e503b07575b55d4067c429ae502d964190,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,6,3,00b96f97cef6abf4e8c4e8c7460fd08e7d906c0737486677e5b7a9dd52d7ecc6,19702,862cec0b3d29a74ae5fcd941f42169492fda12c4415cf0853b1f13a61fef860f,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,7,3,0148fc2314129354d486c5f43ffbdcd37bf291440d3b680e20877ad7cb613dd6,19703,acb8b8ce398e11ae4b3556425bf76f7d42c6ff093e4836bee2a8cc6c7fb3ab97,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,8,3,6474a4076dbc07f85891095b27c3ad03c00e93821e1424e4435499fa1125a558,19704,15161e589a365a6ee9480cb675ea1859b721bad1e1029d4acad4cc4b446fbfc9,-1,unavailable,2,ordinary_transaction,true
sphincs,sphincs-lowrate-v1,sphincs-20-tps,121,9,3,f154dce2b2fb9b33f404ff66b3dc8b6f4e43983f859b29afa22bce2fde3b44fd,19704,3bb9c1da7d289702d5dbfa41dd8447d13312d50ab154606c090d9b27cba59c33,-1,unavailable,2,ordinary_transaction,true
