start_offset_ms,latency_ms,status,tx_id
0.000000,2256.992633,success,daaf0ae8783df8015d7b2bd4d46374cf24b6c2bc3dc311b047c9a649f38084a8
7.338899,2249.228451,success,cf5e9ef290f0ae6d4f7d5d81fd4a5c714d35c0e89f15331b40493936411df8f1
11.398275,2244.807903,success,603931ba07e1a914725ab217254b71b652f2e74360a1739e2835eb87ce02c296
14.105317,2241.973009,success,17b172cda497c5bd992decce5ea5fce3a3c2f423ddd60662934f8a811da695e0
16.201376,2240.537738,success,d0e53c75f9e84dfe5b32c7426935156dd479aff7c393c5adef98db726fef287f
28.396616,2229.141638,success,cd2ab614f0af6e62fb1495f58b66ae1f226c07ea804f2fde92733db422822434
30.466755,2229.975232,success,4852ed73d7471f6d149e12ce997b4f743f30ac5529049facc25ce28818e1b584
33.064250,2227.592513,success,0ebdb1e9a933578f0626e43fc977a5fbb87753d8ac5f9c6255e357b4b24bea59
35.491915,2225.188733,success,6800bb28161aaa9a976ca28c7db6874286fafd98e08b1ca607617e87c2d134e9
42.418435,2218.254428,success,ffef93a0e9a3c8d79a3d7ef127b75c101c52469b39b5d339038e2684ea3549da
45.375931,2215.311480,success,b59dc511cca7dd8c444713125f468efb84fae7b223d9d33a6317b64f0b4e8d19
48.947465,2211.736559,success,f3efd684578970c486b4976b6453e62a5e5d85810906887981fffea78d8ce6ae
52.096392,2208.597140,success,19a0aaa62595dd31e521dc242ddd847a163121c17e19dd1772b79a6a68b4e762
57.917926,2199.934421,success,2fc47cb7469dcd8dc17ef73c5489285d81d6a9cb11039c6ee276a56dc1f11689
60.017891,2200.633762,success,172f2febd137dfd318669f289c05e3329da22fb12100cb9faf9543d5b0233d4a
65.492500,2195.177217,success,70ac3947a9c3472e99b8c54500e689e03e19c93bf09bcd7cba976f071bac61e9
70.272406,2190.405046,success,96b00f3abfca6f9859e9df92d431996e39684e5fd2a1bd8c27fbdbbb869298d2
75.171989,2185.513999,success,5a50915d28d7dd45ab8149ed13fee73128c4b03e17f34bbaa0762ec9472e34dc
77.088138,2183.604162,success,f5d866c8c56842ec846d836162a98686812df4a2ef53b23910d62726fb076478
84.147850,2176.547155,success,81d55bf8c85f2b74dca1cb5cb6e3a330d2aa2c72624a3bbe16de5d72f8025edc
86.330612,2174.365635,success,067a31f61dd561055b697231358301ac720736f7d8086232537eb80226ebd0c8
92.883687,2163.514233,success,c1d47d643328d7ddd7abb5719925691c4391f205cd359578f500c769ff510802
95.169073,2161.975257,success,02d7f7f1663e5f980a0667675723f50799f38f3178f9aa83490d1582677b0024
102.184191,2155.212114,success,fee5f2993970b56b6a73b604676a27064dfe57277cff8d59fc2b42f12fd38e23
104.995880,2152.700091,success,d37c74ece36c51279541aa7c2e59eebf69dd9e60bc154aeb76929f281cb8f68c
110.692418,2149.961580,success,d2f6277f5c4099bb11a8db2faffdc00da6d3c090ffabd93b02f755b2fca9d825
113.826777,2146.848801,success,9cd4be1535c7c6076b8f71e5a4e661e556fb6c6dab04251261dd04f5e6356836
117.692077,2142.997347,success,d9ea1d4821500d9e6e3e4f8ca452646a2da422fcf2a2198910704630885a0d86
123.028304,2137.662423,success,ff814d3c7d707bd69bb3eea2da3aba26d7d6e7fecec81057846e81630553d2c8
126.155680,2134.542180,success,86c7bf0c0beebbf8f9245af579c11f927435cf05a7474538dcd844e3b40e72bd
130.987745,2129.711418,success,ca0a5a1e941613b759122e51dc52e3d641dbb8f067925ea62d589b40ac220b53
134.546075,2126.163758,success,c59f2339dceb7156179d88e4437ee1b6818f27ced4c3c726c0256dcf1e36847b
139.532070,2121.180238,success,c1186c0349b7f7c654718f696fdd690e87e714cb5c64ce11eaecb88859f91c10
144.366039,2116.348683,success,5c99dfada87d3fe19f32ecdca050bd3af690d6381298bc783a7e1fe47367ddc2
149.196341,2113.815389,success,50f3de4534973ce46e19a3c7cb4b93f7b2c92fd5d8e1e0a3cfc98530b4778b72
