config,run_label,benchmark_label,block_number,tx_index,channel_header_type,tx_id,envelope_bytes,envelope_sha256,validation_code,validation_name,endorsements,block_classification,accepted_for_tx_mean
ecdsa,tx-evidence-50-v1,50-tps,17,0,3,0e00cca15534009f9e06797bc35993ca7094ae85f2fcfb6d1d6610e3d5b23397,3917,83da7d78bd333bbb711dd54e584a2dad0f0c9f9e3dda781995f4e4d347bca922,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,1,3,542108d3f3c4bf4c13f7e53f1f8818368897830402775870afecc1629de9d81b,3919,4f29d9fb0e2d46cf48631cbce6b6f784935574c31934d3155e1bc807f4531bd5,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,2,3,072b7bd52ff7aaae6d1664355e11e98c8784df2a3aec295c2925221627873c42,3917,5d1797bcdf88f7f3bdd0a2e231d3fb497fae3c430aad16c04b0254c842078922,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,3,3,39c2d21d09ee8bd0540873436e1f08e041526f512756438683f43fb7f0218661,3921,378343109566764a23bca53febf75aac1e76e082c00026a8b6e42d62ad97a58a,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,4,3,e4efbb111aa5d85d7843b8aeecdce82d4e45576cc5773ccb2688120a54b728ca,3917,fa5b5bfdbb397e6ec2eab0d72964829b475fa829705f8cb5f18b8a190e2b3c7a,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,5,3,1fa0ee5b5e5decf7195f4d29eb980adfa0891b6e45b8e1aa54c42ff0e206c2aa,3917,5ce972e238ddf02a044f572446e5f2e47038113a9fe0a16dbc5a3ed481270eb0,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,6,3,ec1ac343d10998feb14b079d4f04c6a885204bf8b20d4d277ebaac46cac889b6,3922,9b395b8b1a4c370bc93aaa65297238f88ef0b3b0ab5c42fffb5d73a314258f52,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,7,3,486e5443d3471802bd537844267c97d18ac720fdbc791b003f097e8c6615cad6,3920,28dffe59f48476f96d9faae5d34f217a5abda74745444f78bd92a8c97de97906,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,8,3,12d5ad779f4419519363ec65d681172d05b5f1e58b068894e261d179b52dc809,3917,b47a8ed6b76a1006356b3f656e7109be04eb8b81302a88de43e41829e953749d,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,9,3,6ecd9c75ed65be034f104724ea7c6b391f0cc4df08be221f9c1535dce650bacb,3917,e272f744e85d47f56810d71f38e75faf0e6132f0f30628ff504a1be1c6c335b6,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,10,3,36f1356b439a5b104da8c13dd3b511157a377289a07485c39f975232ca36913a,3921,5c2741eefe00cff344fd70fad8b7e35210384a115d37b760d36e17aa400825c5,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,11,3,78df54bed247ba59822f7c3924df85ed100bef240602280d9a2eb8a2d8740681,3920,826648b30f1857d448b24ba8ddb967d811e92d817329f081aeb82071f137ad57,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,12,3,3742da46b04fb2734ec8082c39a092d69f6886119e094dba83d7ad25b01fadba,3920,b6525f742a222719feadb03c1cba40f8a8ac2b5f2be79f56c7f1e6b3c2eb782a,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,13,3,c5e7c2dd3fdd387a635a8f58ffa2c517a2e719a2c035ef0b4de150c0db61dabd,3922,d5c05fc033d86deb1f4560faa7edc5d599f239d08b81e569f04f1a5b7f45a10b,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,14,3,dafcf08085fbea96b8c6b420d257a9de714cd6d017175376a64aa951f6419d17,3920,559cfb8811c6a1cebd6a44160c00c3bee3b1b4a6c95e372d4175f2c30dae3264,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,15,3,26ad196f0a38654c01b2bbd0e0d64bacc358bb1c85b2a5e52cdbc38c88a84086,3922,25a4775a3044a657ee0a35711c312ef99dbd1cfac730b7db7fe8fe3af0388ec6,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,16,3,2450c68a3745205a4c4e2d6bf5dce08e33821681f52c88c1cf4c2c86eb8091bc,3922,b66e379281992930e0a41a8b346d565f9f66ccca1b3350d29ab7a18cd1d0594a,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,17,3,c8d5c685ce7ab939ab8f13302b9ec6b52dca9079fdaa6e5b7f775596fa3b81b1,3919,3e9b94d053e88dbed474f089b1ccc1bdcd17902d61bc59a46fb1ca5c4b61ea0e,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,18,3,80003265d4688e21bb4d3451ac8238f6edd9700f518c48c168cf19eedbd8844a,3924,c023f19f9df272d3ed7a09abe056b462f8c6689d2f632d6c56446b181e64917b,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,19,3,554bee54745378613b1aa0e5cf0f678b3078f4f77ecb8a6b6b8e2f7bbc860069,3920,c7fd10b32852d91561e7397506c0d166b0e9942ce37c05891a9bbb7a38bdffdb,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,20,3,0e0112c51515a0e43d28e5c4f16e512d0382e27f97db20d3a573b3e2da87575c,3920,e49d883662634fd75e486a5ec4e3a1b51a99bf448fe796739c3afd161f067360,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,21,3,810a288a5bef2224afe69cd7020210a63d9ebf5d6aad78a685307d015207dc2b,3922,e6b6abb093b733544002c3a92819e4231807bbc4ca7304abcf095fb05a4ff0c1,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,22,3,b702960ba52af19b6dd8e7a9700a933e44be3e50306d4ed53ee0ec7c7d2e5119,3925,7223ac5c879d326b1749ccabcbab0f4d4ce481d05380a6aac1db5970220219ff,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,23,3,33d0229256ae3093b5b1d7b72ae6a277def1fd7af9aa8d15707891fca074fdef,3920,1bd5e16a8f59764072bdb98648c061bdaab55df3640bbbfd838a1dd3b6a4448e,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,24,3,f4fafa220dbdb1efad556c3d3c8debcf1e0f862ebc68f28a2a6ec3e22a9a0f0a,3925,96ab6a304b575b287893cda1708135ad58e8545dc5b0849552ba9e77e47c0313,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,25,3,54f003320168b51f1fec1b66592733c0d2b65cdba0acd7e3f29c6e8858fb837d,3920,3f0f8fe0ce9fdde6ce670aaab957b547b07d54512107fe20ffed45cf7b119ba3,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,26,3,b8f7cc10f9b7c878748d61b93fdf77b095a02e94559186f7fbb12746f5c0292f,3927,fbc1b16ee49f6e5347f4968b61e2af4dd66f1a920d3e62e9f1878afa18f9b354,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,27,3,9c51e95c1a4f8b4bcfc230792afc762aeda3202b60c8326b3402f3da72bcfdf7,3926,53e2146c978b2b60da5d26969da9a96dcc9a36ebd2005d64e5afb17c08a928a4,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,28,3,2245290dbc99f1c3af2b5a3daab7788a0c4b7e7a7f3182c22bb3815aa1396103,3922,b5f42c2a3b826ddfc800facce7502b3a2d0498ec6469a40f9ec28468f50b6ef9,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,29,3,978368809beb4cd71739c8361b0cd20884118054bbc6ce65c16f8688b94f0fd4,3921,2cf1baa0663f6446cf8934f361d08a5275c36a6b05e810b51eb19d6c7bd70d95,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,30,3,e1a49f22a46f487b0dbf471f8877ec52463bd6cc86770a3f48034665b5e53ee9,3920,1c18570146ece30243862ea34918cfed9725c47e7f99a288ce429efe6749c3c8,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,31,3,3f100801ae7db9444a3de206b6887af2e704eea6b6d22b91aacfcb162b510cf4,3922,ac019bde9bdab74e15a7c2ae85bf7388bbfe9e4272f94e72e28fe3cb25b536a3,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,32,3,be231dc13ae7aa820bff170ab22e31aa0bb731b322414c2d36d0abf5f43ae7e3,3922,dbcf506f04a7ce0ee4c3962bb40d90dab0b8109996dd0c17bbfa5d2b2d950c8e,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,33,3,bcb220bb62f27abc34f18f2f29d855a69adf0abc41bd5e7b7aee83f7ef18b541,3922,8a78af77e989e53e74ddb7e8ea0776ddedbe6f1bd5b75bdede563f360e1b8434,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,34,3,38eec396a7d3f8298acedb546a3c235d59ff14de3b3dcbc78738babe7de05f10,3926,9f5cffe356435183770e7cd716f59c4f6bbac2fe4074ac1a6d9a1c9aaf57f412,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,35,3,e2b336b66693f0d25a9ddcb132f1eb55c41cddfefc2ecf03cb08cf149f59b027,3925,831011498c6d231864023e310d2a7fd6f652ca31836fd5a290eadcf17cc5f60c,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,36,3,d5fb9f5eae760a4a6fbc94da9c78f045f2152dffe28b5ea3c950a1aebd2a4c4f,3923,aac58adc9ad31717680a0abeaed920949174e169214b0b361d42b3c5dae839cf,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,37,3,d40cb4239ae4cc99c75ac8a3cc9f184de0e9f148fbf1fd2fbe2f89bd59b795c0,3922,9d81084ee3b894fee1e72a089441d123ca87b021b815bc3358b5b753de60521e,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,38,3,88a035716616ec7f8d8d841b5bcc2d67417e27abbc3d769394cf2883ea3308cf,3921,f1b0a472c51e7080eb84392970c5416ff5cc3506297768ed6c541f51463e810b,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,39,3,3b269ea2145aef294d94316f2e7b925242f9d5550bd707da97d518a5b1991288,3926,c9474d2ade2e72830c067e366f0ed42adb9464158ccca76e8b43459e82eaae26,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,40,3,4cf4a6432f71ccbc5fd9ce309c8840f3c38bda37430c44ca0fb7c0af9573eede,3920,7a5d8d15bda360f9e33b6f2c9df336605d97e7616a5c3088c15ee8213563e993,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,41,3,9f2236bb2a9196ddb40f64e1f2e83504bffb8d09fdca919402f215a0bdce2a47,3920,0d2f4ba1e15bca17c7db371636eab9ca369ec865d40c2ae025371609fd813691,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,42,3,6a435e6417962973c1c62235acffd68de083641df92616eb5027d20c023d6894,3926,f0fe3bc99256617e856ceee6ccc0b43328a219cfff9a0e36437499ac6a9930ff,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,43,3,3010e101433af714fa27815ce33a58e0812d27069306c57b90ba818aeffadcd5,3921,f2cfb777d228031bbe9927dc6acd96dfe6ca04935a9d34171cbc1f32a2d65c9f,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,44,3,d50ccf9676fc13a565973be77c7f6a385a40ffce0db3a48adb42865a457c8d5e,3920,345d843f0367d57f1e5eeaf08514130e8e3d31c0ede2204e2287764d7ddeead8,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,45,3,77be07d1083b5b7a4d8e2844d4a530b5640dfbadd2822a92bc1178392dd4c377,3921,3d74e1c0cafe07b10261690ab6a3a4bbdf1e6401bfc21f2313434ef2b72dc27e,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,46,3,49a24a85053cc814db1b83430e125ae3bfc55cd1b5d5704a2e747e1158d7a2e3,3926,a9a9998520f1195bcfdf83bad23ba84897520fe5635bca705c7767a3ceb1f926,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,47,3,7478a43ea522977727cb3b75aad29aa03e009c8f2bd999be56ae432237cf8021,3921,fcbacf99df2f0da4877aa131d6ba23ff30304724477e3f6678c356089718eae5,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,48,3,7833313147c328da0f19b0b20403216ed914b3e7b6765689b8f1f0bd8f4ac7eb,3922,66a23181cce4a5dbdefc87ce4a6fafca70e35619005da1f4ee745933f84a6bf7,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,49,3,d239c724b7bc50c7b803fb399d5268ccdc84de428474d5912ecf52312a4a2abf,3921,83b1746bb7d070b6256f44ee6d157ab6cab15903e4bcdf45826d791ad7ded4cd,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,50,3,789b261a02807ea85897fda0e2e3d4239f17696775a669881977afd8b3451593,3927,963e666bac77de7a667555a55b638dda4c77a1384127ec81f2cbc5112a344cc9,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,51,3,30a75f4aaaed80d0ded4705da9660331f2456b1a9113fc088c49ade269dd39a6,3921,8ebbd2c3dd20e94e57ad01bad787a4b42d5dceaf39b7b27de4d43da4ccc117a4,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,52,3,38e255c86233eb9819e240c715b6e4e05c9a660d4da141bdf14bfa4a47fa25ad,3923,da34abde552aaaa323869d73c80346711801888bd48893d4d6739bc2f0e5da7c,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,53,3,ddbcfa4c6f5af8ce2af9f20262163182938bfd18a59a82d2f8eda63bcdb6d003,3921,12aae1b030dd87ac607068d6431fd7d78391b65dcc1baecf5ed75674e4f0dcd1,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,54,3,caacf62dffbc5f9b700cc0f6e815862ba4e8f9884b0d14859fdfc1b24f58bd46,3925,630427c2ae038f7702c92346e8c12e5ce585b26b99b7e1fafdb6f528cde43ff7,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,55,3,366643ab136045374d4b61b8fac15838de6288b190efb8e53bed29556c3db209,3920,decb9606e8e9beeceeaa3c88f326aa04b31337f20f4afba1534681d5faf61064,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,56,3,09a02cf32bf3c9c364070a7f5f26ee8f5415ce13127411af4aa4f9584e8869bb,3922,9cc07ab44454bf030e820f6fa1cc492fb2bfedadd9eff7ffc39b8482130c75d7,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,57,3,cbe244f6bd6e518d61a4bfa1c45529f11c9363fc80296ef43fc59c409edebee3,3921,d6d98609c68ce34890971753cfb12f69ccaef9eaf59dfe8903fa5b8b4dc7fd18,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,58,3,dfd4a6c625a74fbfbdb1c133e96feee88fc01a38570e878f739cf585ba67151f,3922,a96b7ba419984ca2517df80db15be59754550ffd4fb976233ae2b1438c650dc8,-1,unavailable,2,ordinary_transaction,true
ecdsa,tx-evidence-50-v1,50-tps,17,59,3,a840a74290834d225d5baf655994a04a51495da4e1cabcf166c31b50c885aa62,3921,a81b4f9b54afe51b92531fadac62ba513a777f2addd5a66501c4b498f583b9b1,-1,unavailable,2,ordinary_transaction,true
